Year,Units,Регионы,гражданство,Value
2016,процент,,,9.13968053600039
2017,процент,,,9.473947895791584
2010,процент,,,2.2445630646773678
2011,процент,,,2.5594653037153527
2012,процент,,,3.9866902360403453
2013,процент,,,3.5076780972174113
2014,процент,,,4.371625488293399
2015,процент,,,4.737186795061489
2016,процент,,,5.340583580133029
2017,процент,,,5.999498997995992
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,,54.04637825019991
2011,процент,,,50.88837117916187
2012,процент,,,53.77729595787517
2013,процент,,,51.466570102380096
2014,процент,,,48.594873284438314
2015,процент,,,50.09683426443203
2016,процент,,,52.25582147477361
2017,процент,,,51.912110030191215
2010,процент,,,8.401577191386108
2011,процент,,,8.709686473741824
2012,процент,,,8.133808270094471
2013,процент,,,9.023274187707806
2014,процент,,,10.638297872340425
2015,процент,,,7.150837988826815
2016,процент,,,6.820019404915913
2017,процент,,,6.6839986581684
2010,процент,,,32.30485013924505
2011,процент,,,34.80225671541247
2012,процент,,,30.940065045686854
2013,процент,,,32.43572439674754
2014,процент,,,32.58296420013071
2015,процент,,,33.77653631284917
2016,процент,,,31.961513583441135
2017,процент,,,31.17661858436766
2010,процент,,,4.599222433617338
2011,процент,,,4.709911022539086
2012,процент,,,4.308502400495586
2013,процент,,,3.624452710932614
2014,процент,,,3.9430687677002396
2015,процент,,,4.182495344506518
2016,процент,,,4.119501940491591
2017,процент,,,4.616739349211674
2010,процент,,,0.6479719855516034
2011,процент,,,0.8897746091447497
2012,процент,,,2.840328325847917
2013,процент,,,3.449978602231952
2014,процент,,,4.240795875390313
2015,процент,,,4.793296089385475
2016,процент,,,4.843143596377749
2017,процент,,,5.610533378061054
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,Казахстан,99.51028612976349
2011,процент,,Казахстан,99.56561246426277
2012,процент,,Казахстан,98.84285181037701
2013,процент,,Казахстан,99.30988309213575
2014,процент,,Казахстан,99.23867103311221
2015,процент,,Казахстан,99.09766454352442
2016,процент,,Казахстан,99.1
2017,процент,,Казахстан,99.1
2010,процент,,не Казахстан,0.489713870236514
2011,процент,,не Казахстан,0.43438753573722977
2012,процент,,не Казахстан,1.157148189622987
2013,процент,,не Казахстан,0.6901169078642511
2014,процент,,не Казахстан,0.7613289668877883
2015,процент,,не Казахстан,0.9023354564755834
2016,процент,,не Казахстан,0.9000000000000057
2017,процент,,не Казахстан,0.9000000000000057
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,Казахстан,99.6472414279667
2011,процент,,Казахстан,99.73897911832947
2012,процент,,Казахстан,98.98682877406281
2013,процент,,Казахстан,99.49207988980716
2014,процент,,Казахстан,99.46260076235706
2015,процент,,Казахстан,99.37734270933366
2016,процент,,Казахстан,99.2
2017,процент,,Казахстан,99.2
2010,процент,,не Казахстан,0.3527585720332951
2011,процент,,не Казахстан,0.2610208816705324
2012,процент,,не Казахстан,1.0131712259371852
2013,процент,,не Казахстан,0.5079201101928419
2014,процент,,не Казахстан,0.5373992376429442
2015,процент,,не Казахстан,0.6226572906663392
2016,процент,,не Казахстан,0.7999999999999972
2017,процент,,не Казахстан,0.7999999999999972
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,Казахстан,99.39642001622121
2011,процент,,Казахстан,99.53017495576961
2012,процент,,Казахстан,98.75428927940106
2013,процент,,Казахстан,99.32802216834084
2014,процент,,Казахстан,99.2660048269513
2015,процент,,Казахстан,99.11223227496544
2016,процент,,Казахстан,99.0
2017,процент,,Казахстан,99.0
2010,процент,,не Казахстан,0.6035799837787863
2011,процент,,не Казахстан,0.4698250442303902
2012,процент,,не Казахстан,1.245710720598936
2013,процент,,не Казахстан,0.6719778316591629
2014,процент,,не Казахстан,0.7339951730486973
2015,процент,,не Казахстан,0.8877677250345641
2016,процент,,не Казахстан,1.0
2017,процент,,не Казахстан,1.0
2010,процент,,,100.0
2011,процент,,,100.0
2012,процент,,,100.0
2013,процент,,,100.0
2014,процент,,,100.0
2015,процент,,,100.0
2016,процент,,,100.0
2017,процент,,,100.0
2010,процент,,Казахстан,99.83731767171258
2011,процент,,Казахстан,99.81755410222584
2012,процент,,Казахстан,99.1420164162924
2013,процент,,Казахстан,99.49303749547354
2014,процент,,Казахстан,99.45900806041682
2015,процент,,Казахстан,99.41154562383613
2016,процент,,Казахстан,99.4
2017,процент,,Казахстан,99.3
2010,процент,,не Казахстан,0.16268232828741702
2011,процент,,не Казахстан,0.18244589777415854
2012,процент,,не Казахстан,0.8579835837075933
2013,процент,,не Казахстан,0.5069625045264559
2014,процент,,не Казахстан,0.5409919395831793
2015,процент,,не Казахстан,0.5884543761638668
2016,процент,,не Казахстан,0.5999999999999943
2017,процент,,не Казахстан,0.7000000000000028
